Code,N°,English Name,Nom français,Alias,Age,Date,In langtags,Region,Lang,Notes,Default Font,Default Features,WSTech primary,NLCI,Microsoft,Other,Noto Sans,Noto Serif,WSTech secondary
Mero,100,Meroitic Hieroglyphs,hiéroglyphes méroïtiques,Meroitic_Hieroglyphs,6.1,2012-02-06,,,,,Noto Sans Meroitic,,,,,,Noto Sans Meroitic,,
Mlym,347,Malayalam,malayâlam,Malayalam,1.1,2004-05-01,y,,,,Noto Sans Malayalam,,,,,,Noto Sans Malayalam,Noto Serif Malayalam,
Modi,324,"Modi, Moḍī",modî,Modi,7,2014-11-15,y,,,,Noto Sans Modi,,,,,,Noto Sans Modi,,
Mong,145,Mongolian,mongol,Mongolian,3,2004-05-01,y,,,,Noto Sans Mongolian,,,,,,Noto Sans Mongolian,,
Moon,218,"Moon (Moon code, Moon script, Moon type)",écriture Moon,,,2006-12-11,,,,,,,,,,,,,
Mroo,264,"Mro, Mru",mro,Mro,7,2016-12-05,y,,,,Noto Sans Mro,,,,,,Noto Sans Mro,,
Mtei,337,"Meitei Mayek (Meithei, Meetei)",meitei mayek,Meetei_Mayek,5.2,2009-06-01,y,,,,Noto Sans Meetei Mayek,,,,,,Noto Sans Meetei Mayek,,
Mult,323,Multani,multanî,Multani,8,2015-07-07,,,,,Noto Sans Multani,,,,,,Noto Sans Multani,,
Mymr,350,Myanmar (Burmese),birman,Myanmar,3,2004-05-01,y,,,,Padauk,,Padauk,,,,Noto Sans Myanmar,Noto Serif Myanmar,
Nagm,295,Nag Mundari,nag mundari,,15,2021-12-03,y,,,,Noto Sans Nag Mundari,,,,,,Noto Sans Nag Mundari,,
Nand,311,Nandinagari,nandinâgarî,Nandinagari,12,2018-08-26,y,,,,Noto Sans Nandinagari,,,,,,Noto Sans Nandinagari,,
Narb,106,Old North Arabian (Ancient North Arabian),nord-arabique,Old_North_Arabian,7,2014-11-15,y,,,,Noto Sans Old North Arabian,,,,,,Noto Sans Old North Arabian,,
Nbat,159,Nabataean,nabatéen,Nabataean,7,2014-11-15,y,,,,Noto Sans Nabataean,,,,,,Noto Sans Nabataean,,
Newa,333,"Newa, Newar, Newari, Nepāla lipi","néwa, néwar, néwari, nepāla lipi",Newa,9,2016-12-05,y,,,,Noto Sans Newa,,,,,,Noto Sans Newa,,
Nkdb,85,"Naxi Dongba (na²¹ɕi³³ to³³ba²¹, Nakhi Tomba)",naxi dongba,,,2017-07-26,,,,,,,,,,,,,
Nkgb,420,"Naxi Geba (na²¹ɕi³³ gʌ²¹ba²¹, 'Na-'Khi ²Ggŏ-¹baw, Nakhi Geba)","naxi geba, nakhi geba",,,2017-07-26,y,,,,,,,,,,,,
Nkoo,165,N’Ko,n’ko,Nko,5,2006-10-10,y,,,,Noto Sans NKo,,,,Ebrima,,Noto Sans NKo,,
Nshu,499,Nüshu,nüshu,Nushu,10,2017-07-26,y,,,,,,,,,,,,
Ogam,212,Ogham,ogam,Ogham,3,2004-05-01,y,,,,Noto Sans Ogham,,,,,,Noto Sans Ogham,,
Olck,261,"Ol Chiki (Ol Cemet’, Ol, Santali)",ol tchiki,Ol_Chiki,5.1,2007-07-02,y,,,,Noto Sans Ol Chiki,,,,,,Noto Sans Ol Chiki,,
Orkh,175,"Old Turkic, Orkhon Runic",orkhon,Old_Turkic,5.2,2009-06-01,y,,,,Noto Sans Old Turkic,,,,,,Noto Sans Old Turkic,,
Orya,327,Oriya (Odia),oriyâ (odia),Oriya,1.1,2016-12-05,y,,,,Japa Sans Oriya,,Japa Sans Oriya,,,,Noto Sans Oriya,,
Osge,219,Osage,osage,Osage,9,2016-12-05,y,,,,Noto Sans Osage,,,,,,Noto Sans Osage,,
Osma,260,Osmanya,osmanais,Osmanya,4,2004-05-01,y,,,,Noto Sans Osmanya,,,,Ebrima,,Noto Sans Osmanya,,
Ougr,143,Old Uyghur,ancien ouïgour,,14,2021-01-25,y,,,,,,,,,,,,
Palm,126,Palmyrene,palmyrénien,Palmyrene,7,2014-11-15,y,,,,Noto Sans Palmyrene,,,,,,Noto Sans Palmyrene,,
Pauc,263,Pau Cin Hau,paou chin haou,Pau_Cin_Hau,7,2014-11-15,y,,,,Noto Sans Pau Cin Hau,,,,,,Noto Sans Pau Cin Hau,,
Pcun,15,Proto-Cuneiform,proto-cunéiforme,,,2021-01-25,n,,,,,,,,,,,,
Perm,16,Proto-Elamite,proto-élamite,,,2021-01-25,y,,,,,,,,,,,,
Perm,227,Old Permic,ancien permien,Old_Permic,7,2014-11-15,y,,,,Noto Sans Old Permic,,,,,,Noto Sans Old Permic,,
Phag,331,Phags-pa,’phags pa,Phags_Pa,5,2006-10-10,y,,,,Noto Sans Phags Pa,,,,,,Noto Sans Phags Pa,,
Phli,131,Inscriptional Pahlavi,pehlevi des inscriptions,Inscriptional_Pahlavi,5.2,2009-06-01,y,,,,Noto Sans Inscriptional Pahlavi,,,,,,Noto Sans Inscriptional Pahlavi,,
Phlp,132,Psalter Pahlavi,pehlevi des psautiers,Psalter_Pahlavi,7,2014-11-15,y,,,,Noto Sans Psalter Pahlavi,,,,,,Noto Sans Psalter Pahlavi,,
Phlv,133,Book Pahlavi,pehlevi des livres,,,2007-07-15,,,,,,,,,,,,,
Phnx,115,Phoenician,phénicien,Phoenician,5,2006-10-10,y,,,,Noto Sans Phoenician,,,,,,Noto Sans Phoenician,,
Plrd,282,Miao (Pollard),miao (Pollard),Miao,6.1,2012-02-06,y,,,,Shimenkan,,Shimenkan,,,,Noto Sans Miao,,ShiShan
Piqd,293,Klingon (KLI pIqaD),klingon (pIqaD du KLI),,,2015-12-16,,,,,,,,,,,,,
Prti,130,Inscriptional Parthian,parthe des inscriptions,Inscriptional_Parthian,5.2,2009-06-01,y,,,,Noto Sans Inscriptional Parthian,,,,,,Noto Sans Inscriptional Parthian,,
Psin,103,Proto-Sinaitic,proto-sinaïtique,,,2021-01-25,n,,,,,,,,,,,,
Qaaa,900,Reserved for private use (start),réservé à l’usage privé (début),,,2004-05-29,,,,,,,,,,,,,
Qabx,949,Reserved for private use (end),réservé à l’usage privé (fin),,,2004-05-29,,,,,,,,,,,,,
Ranj,303,Ranjana,ranjana,,,2021-01-25,y,,,,,,,,,,,,
Rjng,363,"Rejang (Redjang, Kaganga)",redjang (kaganga),Rejang,5.1,2009-02-23,y,,,,Noto Sans Rejang,,,,,,Noto Sans Rejang,,
Rohg,167,Hanifi Rohingya,hanifi rohingya,Hanifi_Rohingya,11,2017-11-21,y,,,,Noto Sans Hanifi Rohingya,,,,,,Noto Sans Hanifi Rohingya,,
Roro,620,Rongorongo,rongorongo,,,2004-05-01,,,,,,,,,,,,,
Runr,211,Runic,runique,Runic,3,2004-05-01,y,,,,Noto Sans Runic,,,,,,Noto Sans Runic,,
Samr,123,Samaritan,samaritain,Samaritan,5.2,2009-06-01,y,,,,Noto Sans Samaritan,,,,,,Noto Sans Samaritan,,
Sara,292,Sarati,sarati,,,2004-05-29,,,,,,,,,,,,,
Sarb,105,Old South Arabian,"sud-arabique, himyarite",Old_South_Arabian,5.2,2009-06-01,y,,,,Noto Sans Old South Arabian,,,,,,Noto Sans Old South Arabian,,
Saur,344,Saurashtra,saurachtra,Saurashtra,5.1,2007-07-02,y,,,,Noto Sans Saurashtra,,,,,,Noto Sans Saurashtra,,
Sgnw,95,SignWriting,"SignÉcriture, SignWriting",SignWriting,8,2015-07-07,y,,,,Noto Sans SignWriting,,,,,,Noto Sans SignWriting,,
Shaw,281,Shavian (Shaw),shavien (Shaw),Shavian,4,2004-05-01,y,,,,Noto Sans Shavian,,,,,,Noto Sans Shavian,,
Shrd,319,"Sharada, Śāradā","charada, shard",Sharada,6.1,2012-02-06,y,,,,Noto Sans Sharada,,,,,,Noto Sans Sharada,,
Shui,530,Shuishu,shuishu,,,2017-07-26,,,,,,,,,,,,,
Sidd,302,"Siddham, Siddhaṃ, Siddhamātṛkā",siddham,Siddham,7,2014-11-15,,,,,Noto Sans Siddham,,,,,,Noto Sans Siddham,,
Sind,318,"Khudawadi, Sindhi","khoudawadî, sindhî",Khudawadi,7,2014-11-15,y,,,,Noto Sans Khudawadi,,,,,,Noto Sans Khudawadi,,
Sinh,348,Sinhala,singhalais,Sinhala,3,2004-05-01,y,,,,Noto Sans Sinhala,,,,,,Noto Sans Sinhala,Noto Serif Sinhala,
Sogd,141,Sogdian,sogdien,Sogdian,11,2017-11-21,y,,,,Noto Sans Sogdian,,,,,,Noto Sans Sogdian,,
Sogo,142,Old Sogdian,ancien sogdien,Old_Sogdian,11,2017-11-21,y,,,,Noto Sans Old Sogdian,,,,,,Noto Sans Old Sogdian,,
Sora,398,Sora Sompeng,sora sompeng,Sora_Sompeng,6.1,2012-02-06,y,,,,Noto Sans Sora Sompeng,,,,,,Noto Sans Sora Sompeng,,
